question,topic,correct_answer,difficulty
What is Python?,Python,Programming language,Easy
What is a variable in Python?,Python,Stores data,Easy
What is a list in Python?,Python,Collection of items,Easy
What is a tuple in Python?,Python,Immutable collection,Easy
What is a dictionary in Python?,Python,Key value pairs,Easy
What does len() do?,Python,Returns length,Easy
What is a loop?,Python,Repeats code,Easy
What is a function?,Python,Reusable block of code,Easy
What is inheritance?,Python,OOP concept,Medium
What is polymorphism?,Python,Multiple method forms,Medium
What is encapsulation?,Python,Data hiding,Medium
What is abstraction?,Python,Hides implementation,Medium
What is multithreading?,Python,Concurrent execution,Hard
Explain Python memory management.,Python,Garbage collection,Hard
What is supervised learning?,Machine Learning,Labeled learning,Easy
What is unsupervised learning?,Machine Learning,Unlabeled learning,Easy
What is classification?,Machine Learning,Predicting categories,Easy
What is regression?,Machine Learning,Predicting values,Easy
What is clustering?,Machine Learning,Grouping data,Easy
What is overfitting?,Machine Learning,Poor generalization,Medium
What is underfitting?,Machine Learning,Model too simple,Medium
What is feature engineering?,Machine Learning,Creating features,Medium
What is cross validation?,Machine Learning,Model evaluation,Medium
What is gradient descent?,Machine Learning,Optimization algorithm,Hard
Explain bias variance tradeoff.,Machine Learning,Model complexity balance,Hard
What is normalization?,Data Science,Scaling data,Easy
What is data cleaning?,Data Science,Removing errors,Easy
What is EDA?,Data Science,Exploratory analysis,Easy
What is missing value handling?,Data Science,Handling nulls,Easy
What is feature scaling?,Data Science,Standardizing features,Medium
What is data visualization?,Data Science,Visual representation,Easy
What is a histogram?,Data Science,Distribution chart,Easy
What is correlation?,Data Science,Relationship measure,Medium
What is outlier detection?,Data Science,Finding anomalies,Medium
What is SQL?,SQL,Database language,Easy
What is a table?,SQL,Stores data,Easy
What is a row?,SQL,Single record,Easy
What is a column?,SQL,Field in table,Easy
What does SELECT do?,SQL,Retrieves data,Easy
What does INSERT do?,SQL,Adds records,Easy
What does UPDATE do?,SQL,Modifies records,Easy
What does DELETE do?,SQL,Removes records,Easy
What is a primary key?,SQL,Unique identifier,Easy
What is a foreign key?,SQL,Table reference,Easy
What is a JOIN?,SQL,Combines tables,Medium
What is normalization?,SQL,Reduces redundancy,Medium
What is indexing?,SQL,Improves speed,Medium
Explain ACID properties.,SQL,Database consistency,Hard
What is REST API?,Backend,HTTP API,Easy
What is authentication?,Backend,Identity verification,Easy
What is authorization?,Backend,Access control,Easy
What is JWT?,Backend,Token authentication,Medium
What is middleware?,Backend,Request processing layer,Medium
What is microservices architecture?,Backend,Distributed services,Hard
What is Docker?,DevOps,Container platform,Easy
